number,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
54955,Nigeria,coal,2019,0.00248113938249176,0.00140577613564464,1015.889,201050.8,8.462610585016781,1.674803672651335,0.23142975763085524
54956,Nigeria,natural_gas,2019,0.6946624279836,1.711803515766,1015.889,201050.8,8.462610585016781,1.674803672651335,36.354922607
54957,Nigeria,petroleum_n_other_liquids,2019,0.949338189,4.256163163448532,1015.889,201050.8,8.462610585016781,1.674803672651335,64.607573
54959,Nigeria,renewables_n_other,2019,0.05493287184,0.05493287184,1015.889,201050.8,8.462610585016781,1.674803672651335,0
54966,North Korea,all_energy_types,2019,0.32365671213110686,0.5724834214890987,43.1394,25662.5,12.612049181923307,7.5025779712074545,20.153995305
54967,North Korea,coal,2019,0.1582081016794242,0.4507915630890987,43.1394,25662.5,12.612049181923307,7.5025779712074545,17.192669625953016
54968,North Korea,natural_gas,2019,0,0,43.1394,25662.5,12.612049181923307,7.5025779712074545,0
54969,North Korea,petroleum_n_other_liquids,2019,0.0437512926,0,43.1394,25662.5,12.612049181923307,7.5025779712074545,2.961325678647297
54971,North Korea,renewables_n_other,2019,0.12169731785168264,0.1216918584,43.1394,25662.5,12.612049181923307,7.5025779712074545,0
54972,North Macedonia,all_energy_types,2019,0.111615056057727,0.04496409686727226,31.7368,2082.92,53.58585834200401,3.5168969794600273,6.539300393
54973,North Macedonia,coal,2019,0.03983466301835039,0.03310076342727226,31.7368,2082.92,53.58585834200401,3.5168969794600273,3.180663196231058
54974,North Macedonia,natural_gas,2019,0.0079779619656,0,31.7368,2082.92,53.58585834200401,3.5168969794600273,0.34630584
54975,North Macedonia,petroleum_n_other_liquids,2019,0.0456879936,0,31.7368,2082.92,53.58585834200401,3.5168969794600273,3.012331357
54977,North Macedonia,renewables_n_other,2019,0.0181144374737766,0.01186333344,31.7368,2082.92,53.58585834200401,3.5168969794600273,0
54984,Norway,all_energy_types,2019,1.786945046065374,8.857427879421154,330.2825,5352.817,333.8326428991266,5.410353397668281,38.055784902
54985,Norway,coal,2019,0.02161078930224531,0.00339284403604295,330.2825,5352.817,333.8326428991266,5.410353397668281,3.362758079201537
54986,Norway,natural_gas,2019,0.15632015179857855,4.273327854399455,330.2825,5352.817,333.8326428991266,5.410353397668281,8.118021891
54987,Norway,petroleum_n_other_liquids,2019,0.444135806638655,3.423179897465656,330.2825,5352.817,333.8326428991266,5.410353397668281,26.575004932
54989,Norway,renewables_n_other,2019,1.1648782983258952,1.15752728352,330.2825,5352.817,333.8326428991266,5.410353397668281,0
54990,Oman,all_energy_types,2019,1.3485596673544158,3.4069135196418077,141.208,4618,292.02244853928454,9.55016477362767,75.869640578
54991,Oman,coal,2019,0.00184995892441678,0,141.208,4618,292.02244853928454,9.55016477362767,0.11054832432849876
54992,Oman,natural_gas,2019,0.8754264632299991,1.311790288375,141.208,4618,292.02244853928454,9.55016477362767,45.679182254
54993,Oman,petroleum_n_other_liquids,2019,0.4712476292,2.0950876152668076,141.208,4618,292.02244853928454,9.55016477362767,30.07991
54995,Oman,renewables_n_other,2019,3.5616e-5,3.5616e-5,141.208,4618,292.02244853928454,9.55016477362767,0
54996,Pakistan,all_energy_types,2019,3.4344142024185045,1.9276637904420648,1039.88,216564,15.858657036342626,3.302702429528892,192.896993866
54997,Pakistan,coal,2019,0.5022976017810633,0.09690800037710667,1039.88,216564,15.858657036342626,3.302702429528892,47.099296799375374
54998,Pakistan,natural_gas,2019,1.481648349522,1.165201281705,1039.88,216564,15.858657036342626,3.302702429528892,76.977575127
54999,Pakistan,petroleum_n_other_liquids,2019,0.9885616323,0.20791654435995824,1039.88,216564,15.858657036342626,3.302702429528892,68.82012194
55000,Pakistan,nuclear,2019,0.095718828,0.095718828,1039.88,216564,15.858657036342626,3.302702429528892,0
55001,Pakistan,renewables_n_other,2019,0.3661877908154411,0.361919136,1039.88,216564,15.858657036342626,3.302702429528892,0
55002,Palestinian Territories,all_energy_types,2019,0.06784084920399999,2.457504e-6,14.0824,4986.96,13.603648155188733,4.8174209796625576,3.277635491
55003,Palestinian Territories,coal,2019,0,0,14.0824,4986.96,13.603648155188733,4.8174209796625576,0
55004,Palestinian Territories,natural_gas,2019,0,0,14.0824,4986.96,13.603648155188733,4.8174209796625576,0
55005,Palestinian Territories,petroleum_n_other_liquids,2019,0.04770759169999999,0,14.0824,4986.96,13.603648155188733,4.8174209796625576,3.27763549068559
55007,Palestinian Territories,renewables_n_other,2019,0.020133257504,2.457504e-6,14.0824,4986.96,13.603648155188733,4.8174209796625576,0
55008,Panama,all_energy_types,2019,0.42017007983234866,0.073876488,118.865,4245.43,98.96997002243558,3.5348511322285674,26.79318633
55009,Panama,coal,2019,0.02041303914274866,0,118.865,4245.43,98.96997002243558,3.5348511322285674,1.4131801684158436
55010,Panama,natural_gas,2019,0.0203012367896,0,118.865,4245.43,98.96997002243558,3.5348511322285674,0.374444242
55011,Panama,petroleum_n_other_liquids,2019,0.3067735159,0,118.865,4245.43,98.96997002243558,3.5348511322285674,25.00556192
55013,Panama,renewables_n_other,2019,0.072682288,0.073876488,118.865,4245.43,98.96997002243558,3.5348511322285674,0
55014,Papua New Guinea,all_energy_types,2019,0.099309336646567,0.5054990798873973,32.4518,8777.36,11.31426039795189,3.0602104242774515,6.323287075
55015,Papua New Guinea,coal,2019,0,0,32.4518,8777.36,11.31426039795189,3.0602104242774515,0
55016,Papua New Guinea,natural_gas,2019,0.009919066674567,0.42565135671539733,32.4518,8777.36,11.31426039795189,3.0602104242774515,0.465179361
55017,Papua New Guinea,petroleum_n_other_liquids,2019,0.0818958355,0.0723532887,32.4518,8777.36,11.31426039795189,3.0602104242774515,5.858107714200188
55019,Papua New Guinea,renewables_n_other,2019,0.007494434472,0.007494434472,32.4518,8777.36,11.31426039795189,3.0602104242774515,0
55020,Paraguay,all_energy_types,2019,0.4422268356835864,0.44736365784,86.3046,7044.04,62.78028456448095,5.124023930168107,8.338166715
55021,Paraguay,coal,2019,2.844734358641725e-5,0,86.3046,7044.04,62.78028456448095,5.124023930168107,0.01064871491623643
55022,Paraguay,natural_gas,2019,0,0,86.3046,7044.04,62.78028456448095,5.124023930168107,0
55023,Paraguay,petroleum_n_other_liquids,2019,0.1148079065,0,86.3046,7044.04,62.78028456448095,5.124023930168107,8.327518
55025,Paraguay,renewables_n_other,2019,0.32739048184,0.44736365784,86.3046,7044.04,62.78028456448095,5.124023930168107,0
55026,Peru,all_energy_types,2019,1.1855060965141535,1.1672519969393036,402.28,32462.7,36.51902326405855,2.9469675263849897,52.918496178
55027,Peru,coal,2019,0.01255076354635027,0.02234199706382408,402.28,32462.7,36.51902326405855,2.9469675263849897,1.0448633855551002
55028,Peru,natural_gas,2019,0.3525582909078034,0.5737631648688,402.28,32462.7,36.51902326405855,2.9469675263849897,17.188285792
55029,Peru,petroleum_n_other_liquids,2019,0.5157174599,0.2589369728466796,402.28,32462.7,36.51902326405855,2.9469675263849897,34.685347
55031,Peru,renewables_n_other,2019,0.30467958216,0.31220986216,402.28,32462.7,36.51902326405855,2.9469675263849897,0
55032,Philippines,all_energy_types,2019,2.085843453132066,0.6818019186335863,949.711,108296.2,19.260541488363085,2.196292822903037,135.216311732
55033,Philippines,coal,2019,0.73359727476743,0.3367268500309306,949.711,108296.2,19.260541488363085,2.196292822903037,65.92022534700124
55034,Philippines,natural_gas,2019,0.132770836242,0.132770836242,949.711,108296.2,19.260541488363085,2.196292822903037,6.800041385
55035,Philippines,petroleum_n_other_liquids,2019,1.0237000645,0.00215409836065573,949.711,108296.2,19.260541488363085,2.196292822903037,62.496045
55037,Philippines,renewables_n_other,2019,0.1957752776226363,0.210150134,949.711,108296.2,19.260541488363085,2.196292822903037,0
55038,Poland,all_energy_types,2019,4.2898242065685785,2.361311534711677,1217.987,37963.62,112.99829169527509,3.522060749883684,319.670314026
55039,Poland,coal,2019,2.0806762150763065,1.892920737374492,1217.987,37963.62,112.99829169527509,3.522060749883684,195.52267672258264
55040,Poland,natural_gas,2019,0.7003370242039628,0.1534319268702998,1217.987,37963.62,112.99829169527509,3.522060749883684,36.313635303
55041,Poland,petroleum_n_other_liquids,2019,1.406306116593435,0.04304308278688495,1217.987,37963.62,112.99829169527509,3.522060749883684,87.834002
55043,Poland,renewables_n_other,2019,0.1025048506948743,0.27191578768,1217.987,37963.62,112.99829169527509,3.522060749883684,0
55044,Portugal,all_energy_types,2019,1.0467108404019243,0.2587570944,342.6999,10288.67,101.7343194408922,3.0543073995700736,53.518320981
55045,Portugal,coal,2019,0.05199812961010689,0,342.6999,10288.67,101.7343194408922,3.0543073995700736,10.501605883898035
55046,Portugal,natural_gas,2019,0.22729445081590116,0,342.6999,10288.67,101.7343194408922,3.0543073995700736,11.496504097
55047,Portugal,petroleum_n_other_liquids,2019,0.51058476145037,0,342.6999,10288.67,101.7343194408922,3.0543073995700736,31.520211
55049,Portugal,renewables_n_other,2019,0.25683349852554616,0.2587570944,342.6999,10288.67,101.7343194408922,3.0543073995700736,0
55050,Puerto Rico,all_energy_types,2019,0.2957352831149226,0.02424683856,66.9118,2961.78,99.85052337274294,4.419777724032571,20.150917372
55051,Puerto Rico,coal,2019,0.04044724510692258,0,66.9118,2961.78,99.85052337274294,4.419777724032571,2.71006356325366
55052,Puerto Rico,natural_gas,2019,0.071951498448,0,66.9118,2961.78,99.85052337274294,4.419777724032571,3.347951007
55053,Puerto Rico,petroleum_n_other_liquids,2019,0.159089701,0,66.9118,2961.78,99.85052337274294,4.419777724032571,14.09290280159178
55055,Puerto Rico,renewables_n_other,2019,0.02424683856,0.02424683856,66.9118,2961.78,99.85052337274294,4.419777724032571,0
55056,Qatar,all_energy_types,2019,2.046976960031,9.652516999837069,247.046,2828.95,723.5818802138602,8.285813006610105,105.34120271
55057,Qatar,coal,2019,0,0,247.046,2828.95,723.5818802138602,8.285813006610105,0
55058,Qatar,natural_gas,2019,1.479217424575,6.570275466744,247.046,2828.95,723.5818802138602,8.285813006610105,77.224661806
55059,Qatar,petroleum_n_other_liquids,2019,0.5676850624,3.082167060037067,247.046,2828.95,723.5818802138602,8.285813006610105,28.116540904
55061,Qatar,renewables_n_other,2019,7.4473056e-5,7.4473056e-5,247.046,2828.95,723.5818802138602,8.285813006610105,0
55062,Reunion,all_energy_types,2019,0.0483209597,0.0096501552,24.8272,888.916,54.35942170013814,1.9462911524457047,2.722415119
55063,Reunion,coal,2019,0,0,24.8272,888.916,54.35942170013814,1.9462911524457047,0
55064,Reunion,natural_gas,2019,0,0,24.8272,888.916,54.35942170013814,1.9462911524457047,0
55065,Reunion,petroleum_n_other_liquids,2019,0.0386708045,0,24.8272,888.916,54.35942170013814,1.9462911524457047,2.722415119
55067,Reunion,renewables_n_other,2019,0.0096501552,0.0096501552,24.8272,888.916,54.35942170013814,1.9462911524457047,0
55068,Romania,all_energy_types,2019,1.3888732863664268,1.0358510701042891,522.905,19360.95,71.73580254927712,2.6560719181618593,73.684118621
55069,Romania,coal,2019,0.19058241040536544,0.1666420189917986,522.905,19360.95,71.73580254927712,2.6560719181618593,22.71313219062557
55070,Romania,natural_gas,2019,0.3880287160873,0.362845782532,522.905,19360.95,71.73580254927712,2.6560719181618593,21.29000143
55071,Romania,petroleum_n_other_liquids,2019,0.4405340965,0.1525039760204907,522.905,19360.95,71.73580254927712,2.6560719181618593,29.680985
55072,Romania,nuclear,2019,0.12369024,0.12369024,522.905,19360.95,71.73580254927712,2.6560719181618593,0
55073,Romania,renewables_n_other,2019,0.2460378233737615,0.23016905256,522.905,19360.95,71.73580254927712,2.6560719181618593,0
55074,Russia,all_energy_types,2019,33.24653323419811,64.27799556226529,3770.42,145876.3,227.90907936517524,8.817726734474704,1798.242238512
55075,Russia,coal,2019,4.901168924448589,10.51211219247482,3770.42,145876.3,227.90907936517524,8.817726734474704,445.8627903107091
55076,Russia,natural_gas,2019,17.372893000499793,25.71363915109575,3770.42,145876.3,227.90907936517524,8.817726734474704,943.331800861
55077,Russia,petroleum_n_other_liquids,2019,7.25145317,24.18946373073472,3770.42,145876.3,227.90907936517524,8.817726734474704,409.04764734
55078,Russia,nuclear,2019,2.105716415,2.105716415,3770.42,145876.3,227.90907936517524,8.817726734474704,0
55079,Russia,renewables_n_other,2019,1.615301724249729,1.75706407296,3770.42,145876.3,227.90907936517524,8.817726734474704,0
55080,Rwanda,all_energy_types,2019,0.02152290012,0.004532136,27.008,12628.5,1.7043116854733342,0.7969083279028436,1.10937668
55081,Rwanda,coal,2019,0,0,27.008,12628.5,1.7043116854733342,0.7969083279028436,0
55082,Rwanda,natural_gas,2019,0,0,27.008,12628.5,1.7043116854733342,0.7969083279028436,0
55083,Rwanda,petroleum_n_other_liquids,2019,0.0166855266,0,27.008,12628.5,1.7043116854733342,0.7969083279028436,1.1093766800042737
55085,Rwanda,renewables_n_other,2019,0.00483737352,0.004532136,27.008,12628.5,1.7043116854733342,0.7969083279028436,0
55092,Saint Kitts and Nevis,all_energy_types,2019,0.0037990768,6.76704e-5,1.36317,52.7944,71.95984422590274,2.7869427877667494,0.268462136
55093,Saint Kitts and Nevis,coal,2019,0,0,1.36317,52.7944,71.95984422590274,2.7869427877667494,0
55094,Saint Kitts and Nevis,natural_gas,2019,0,0,1.36317,52.7944,71.95984422590274,2.7869427877667494,0
55095,Saint Kitts and Nevis,petroleum_n_other_liquids,2019,0.0037314064,0,1.36317,52.7944,71.95984422590274,2.7869427877667494,0.2684621361898355
55097,Saint Kitts and Nevis,renewables_n_other,2019,6.76704e-5,6.76704e-5,1.36317,52.7944,71.95984422590274,2.7869427877667494,0
